Object No;Longitude;Latitude
20736;106.867254;-6.158856
20737;106.861479;-6.191854
20738;106.867243;-6.158912
20739;106.86722;-6.15896
20740;106.86718;-6.159017
20741;106.863468;-6.155947
20742;106.861507;-6.191775
20743;106.867164;-6.159052
20744;106.867148;-6.159114
20745;106.861488;-6.191545
20746;106.867114;-6.159176
20747;106.86243;-6.171426
20748;106.863444;-6.156003
20749;106.867081;-6.159236
20750;106.861385;-6.191586
20751;106.863413;-6.156057
20752;106.866041;-6.159125
20753;106.866011;-6.159184
20754;106.861531;-6.191647
20755;106.862485;-6.171448
20756;106.863391;-6.156093
20757;106.866163;-6.159086
20758;106.862528;-6.171458
20759;106.866083;-6.15927
20760;106.863399;-6.156145
20761;106.863378;-6.156183
20762;106.862428;-6.171434
20763;106.863344;-6.156235
20764;106.86596;-6.159288
20765;106.863289;-6.156283
20766;106.866216;-6.159096
20767;106.866182;-6.159201
20768;106.863261;-6.156339
20769;106.862037;-6.190894
20770;106.86621;-6.159293
20771;106.86142;-6.17138
20772;106.863225;-6.156391
20773;106.866286;-6.15932
20774;106.86144;-6.171464
20775;106.862016;-6.190939
20776;106.866377;-6.159352
20777;106.863209;-6.156426
20778;106.861386;-6.171453
20779;106.866437;-6.159377
20780;106.862027;-6.191002
20781;106.861357;-6.171517
20782;106.866496;-6.159396
20783;106.863177;-6.156482
20784;106.861335;-6.171576
20785;106.866574;-6.159413
20786;106.861975;-6.191013
20787;106.861397;-6.17168
20788;106.863155;-6.156503
20789;106.866712;-6.159441
20790;106.862032;-6.191077
20791;106.861463;-6.171592
20792;106.86199;-6.191084
20793;106.866834;-6.15953
20794;106.86203;-6.191226
20795;106.861535;-6.171594
20796;106.866892;-6.159553
20797;106.86197;-6.191242
20798;106.861519;-6.171696
20799;106.866263;-6.159108
20800;106.861892;-6.191269
20801;106.861567;-6.171697
20802;106.866306;-6.159114
20803;106.861618;-6.171594
20804;106.861952;-6.191421
20805;106.866353;-6.159133
20806;106.861617;-6.171558
20807;106.862027;-6.191391
20808;106.861618;-6.171516
20809;106.861616;-6.171468
20810;106.861873;-6.19143
20811;106.866568;-6.159228
20812;106.861624;-6.1714
20813;106.862037;-6.191526
20814;106.861715;-6.171489
20815;106.866629;-6.159238
20816;106.862085;-6.191509
20817;106.866688;-6.159246
20818;106.866751;-6.159264
20819;106.861871;-6.191598
20820;106.866861;-6.15931
20821;106.861885;-6.191737
20822;106.86695;-6.159367
20823;106.866886;-6.159498
20824;106.861927;-6.191841
20825;106.862159;-6.19189
20826;106.86221;-6.191865
20827;106.865918;-6.159469
20828;106.862265;-6.191598
20829;106.866055;-6.159388
20830;106.865839;-6.159612
20831;106.861979;-6.191966
20832;106.861614;-6.171636
20833;106.865993;-6.159492
20834;106.866113;-6.159413
20835;106.861677;-6.171642
20836;106.866162;-6.159429
20837;106.862207;-6.192001
20838;106.861749;-6.171606
20839;106.865957;-6.159665
20840;106.862287;-6.191903
20841;106.862341;-6.191891
20842;106.866084;-6.159554
20843;106.86615;-6.159589
20844;106.8623;-6.19197
20845;106.861753;-6.171482
20846;106.862361;-6.191947
20847;106.86179;-6.1714
20848;106.861782;-6.171573
20849;106.862364;-6.191999
20850;106.861825;-6.171576
20851;106.862349;-6.192075
20852;106.86183;-6.171406
20853;106.862289;-6.192121
20854;106.862269;-6.192246
20855;106.861747;-6.171652
20856;106.862339;-6.192319
20857;106.861804;-6.171664
20858;106.861672;-6.171712
20859;106.863145;-6.156537
20860;106.86318;-6.156601
20861;106.863228;-6.156639
20862;106.863253;-6.156663
20863;106.863247;-6.156525
20864;106.863279;-6.156539
20865;106.866206;-6.159618
20866;106.866326;-6.15952
20867;106.863403;-6.156554
20868;106.86639;-6.15953
20869;106.863424;-6.156511
20870;106.866198;-6.15976
20871;106.863328;-6.156469
20872;106.866255;-6.159794
20873;106.866457;-6.159564
20874;106.863343;-6.156387
20875;106.863475;-6.156399
20876;106.866391;-6.159701
20877;106.866456;-6.159725
20878;106.866511;-6.159757
20879;106.863496;-6.156366
20880;106.86644;-6.159888
20881;106.86352;-6.156331
20882;106.866495;-6.15991
20883;106.863535;-6.156295
20884;106.866593;-6.159874
20885;106.866652;-6.159892
20886;106.863556;-6.156266
20887;106.863594;-6.156209
20888;106.866686;-6.159973
20889;106.866746;-6.16
20890;106.863635;-6.156115
20891;106.863597;-6.155981
20892;106.866861;-6.159956
20893;106.863628;-6.156004
20894;106.866905;-6.159874
20895;106.866707;-6.159681
20896;106.866782;-6.159705
20897;106.866747;-6.159773
20898;106.866846;-6.159724
20899;106.863302;-6.156634
20900;106.866906;-6.15974
20901;106.863283;-6.156673
20902;106.865726;-6.159713
20903;106.863791;-6.155967
20904;106.865793;-6.159748
20905;106.863842;-6.155998
20906;106.86584;-6.159769
20907;106.863763;-6.155999
20908;106.863743;-6.15603
20909;106.863727;-6.156061
20910;106.863709;-6.156105
20911;106.86369;-6.156141
20912;106.86368;-6.156167
20913;106.865698;-6.159798
20914;106.865665;-6.15986
20915;106.865631;-6.159918
20916;106.865729;-6.159898
20917;106.865775;-6.159913
20918;106.865917;-6.159936
20919;106.866011;-6.15995
20920;106.865997;-6.159987
20921;106.866174;-6.160002
20922;106.866239;-6.160033
20923;106.866288;-6.160053
20924;106.866413;-6.160113
20925;106.866489;-6.160157
20926;106.866479;-6.160284
20927;106.866445;-6.160253
20928;106.866538;-6.160301
20929;106.866501;-6.160366
20930;106.866547;-6.160382
20931;106.866731;-6.160266
20932;106.866696;-6.160157
20933;106.866563;-6.160081
20934;106.8666;-6.160207
20935;106.866489;-6.160042
